Date,DL_length,player_id,dt_date
20060428,15,hardr001,2006-04-28
20060428,15,rincr001,2006-04-28
20060428,60,,2006-04-28
20060428,15,durhr001,2006-04-28
20060428,15,bannb001,2006-04-28
20060428,15,,2006-04-28
20060429,15,costs001,2006-04-29
20060429,60,stems001,2006-04-29
20060429,15,,2006-04-29
20060430,15,,2006-04-30
20060430,15,robeb003,2006-04-30
20060501,15,loaie001,2006-05-01
20060502,15,ortir001,2006-05-02
20060502,15,leder001,2006-05-02
20060502,15,castf002,2006-05-02
20060502,15,rossc001,2006-05-02
20060503,15,corml001,2006-05-03
20060503,15,,2006-05-03
20060503,15,liebj001,2006-05-03
20060503,15,sweem002,2006-05-03
20060504,15,bootc001,2006-05-04
20060504,15,aurir001,2006-05-04
20060505,15,miced001,2006-05-05
20060505,15,navad001,2006-05-05
20060505,15,lopej002,2006-05-05
20060505,15,liebm001,2006-05-05
20060506,15,jamec002,2006-05-06
20060506,60,brazy001,2006-05-06
20060506,15,aloum001,2006-05-06
20060506,15,mainj001,2006-05-06
20060507,15,,2006-05-07
20060507,15,bradm001,2006-05-07
20060507,15,ramih002,2006-05-07
20060507,60,zambv001,2006-05-07
20060507,15,randj002,2006-05-07
20060508,15,erstd001,2006-05-08
20060509,15,kotcc001,2006-05-09
20060509,60,fostj001,2006-05-09
20060509,15,sheeb001,2006-05-09
20060509,15,ponss001,2006-05-09
20060509,15,contj002,2006-05-09
20060509,15,shefg001,2006-05-09
20060510,15,repkj001,2006-05-10
20060510,15,germf001,2006-05-10
20060511,60,gomec001,2006-05-11
20060512,15,muelb001,2006-05-12
20060512,15,bower002,2006-05-12
20060512,15,rowaa001,2006-05-12
20060512,15,matsh001,2006-05-12
20060513,15,duchj001,2006-05-13
20060513,60,,2006-05-13
20060513,15,mitrs001,2006-05-13
20060513,15,schnb001,2006-05-13
20060513,15,willw001,2006-05-13
20060513,15,santj001,2006-05-13
20060513,15,sturt001,2006-05-13
20060513,60,fortb001,2006-05-13
20060514,60,guzmc001,2006-05-14
20060514,15,merck001,2006-05-14
20060515,15,cabrd001,2006-05-15
20060515,15,bookc001,2006-05-15
20060516,15,chacg001,2006-05-16
20060517,15,davik002,2006-05-17
20060517,15,hardj003,2006-05-17
20060519,60,,2006-05-19
20060519,60,astap001,2006-05-19
20060519,15,alfoa001,2006-05-19
20060519,15,holtm001,2006-05-19
20060519,15,crosb001,2006-05-19
20060520,60,davik002,2006-05-20
20060521,15,kennj001,2006-05-21
20060521,15,niekl001,2006-05-21
20060521,15,chacs001,2006-05-21
20060522,15,escoa002,2006-05-22
